Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees	Number of students/residence	School type
M	40.910754	-73.782012	84		
M	40.904753	-73.787523	84		
M	40.907701	-73.780816	84		
M	40.909122	-73.784155	84		
M	40.920914	-73.787056	84		
M	40.918636	-73.76695	84		
M	40.914146	-73.784567	84		
M	40.907616	-73.775982	84		
M	40.920957	-73.786958	84		
M	40.926301	-73.804716	84		
M	40.946922	-73.794352	84		
M	40.906778	-73.777702	84		
M	40.904145	-73.788555	84		
R	40.985405	-73.776862	84		
R	40.947886	-73.794221	84		
R	40.946941	-73.795224	84		
R	40.94656	-73.795307	84		
R	40.946665	-73.795907	84		
R	40.921876	-73.787745	84		
R	40.905836	-73.774138	84		
R	40.910755	-73.780632	84		
R	40.911393	-73.782915	84		
R	40.897116	-73.778018	84		
R	40.901604	-73.791575	84		
R	40.910148	-73.796748	84		
R	40.911041	-73.782214	84		
DD	40.906562	-73.778412	100		
DD	40.948292	-73.793243	100		
DD	40.914426	-73.782055	100		
M	40.946392	-73.795282	200		
M	40.904252	-73.79085	260		
M	40.921028	-73.787141	100		
M	40.908934	-73.781768	100		
M	40.911495	-73.777794	100		
M	40.914234	-73.784615	500		
M	40.905267	-73.787497	500		
M	40.908342	-73.781877	100		
M	40.914273	-73.779573	800		
M	40.912841	-73.781237	1000		
M	40.928607	-73.770396	550		
M	40.909982	-73.780678	250		
M	40.925705	-73.788064	500		
F	40.923438	-73.78928	64	120	college
F	40.925832	-73.78655	80	120	college
F	40.926165	-73.787334	160	120	college
F	40.926258	-73.787756	160	120	college
F	40.925624	-73.787014	160	120	college
F	40.926628	-73.787214	240	120	college
F	40.900666	-73.78218	120	120	college
F	40.900922	-73.781939	100	120	college
F	40.901145	-73.781767	100	120	college
F	40.899478	-73.781059	100	120	college
F	40.901456	-73.782102	156	120	college
F	40.900951	-73.780464	150	120	college
F	40.927378	-73.784355	32	120	college
F	40.924471	-73.787577	32	120	college
F	40.92578	-73.7992	340	120	college
F	40.924282	-73.797666	450	120	college
F	40.923932	-73.790234	10	30	daycare
F	40.919266	-73.794384	10	30	daycare
F	40.920374	-73.79145	10	30	daycare
C	40.91994	-73.789489	10	30	daycare
C	40.935698	-73.770264	10		
C	40.983808	-73.780338	10		
C	40.914231	-73.774029	10		
C	40.926033	-73.797956	10		
C	40.919965	-73.789251	10		
C	40.924246	-73.792772	10		
C	40.924062	-73.795565	10		
C	40.978562	-73.781778	10		
C	40.91003	-73.780627	10		
C	40.909866	-73.780525	10		
C	40.910086	-73.79007	10		
C	40.909845	-73.789528	10		
C	40.916235	-73.770263	10		
C	40.907371	-73.784238	10		
C	40.906126	-73.789661	10		
C	40.904774	-73.787918	10		
C	40.908434	-73.781935	10		
C	40.908219	-73.7821	10		
C	40.90818	-73.782158	10		
C	40.90809	-73.782371	10		
C	40.907768	-73.783581	10		
C	40.90775	-73.783636	10		
C	40.907694	-73.783754	10		
C	40.906938	-73.780889	10		
C	40.908464	-73.784513	10		
C	40.908886	-73.784111	10		
C	40.910959	-73.781342	10		
C	40.925679	-73.772749	10		
C	40.924749	-73.787165	10		
C	40.933491	-73.770786	10		
C	40.930394	-73.784694	10		
C	40.909594	-73.778844	10		
C	40.9788	-73.779756	10		
M	40.915163	-73.788747	10		
M	40.91202	-73.786276	10		
M	40.910898	-73.782084	10		
M	40.91093	-73.792512	10		
C	40.968599	-73.780235	10		
C	40.969142	-73.785776	10		
C	40.983131	-73.779421	10		
C	40.986901	-73.784972	10		
C	40.919236	-73.786842	10		
C	40.929036	-73.767841	10		
